,date,text
18,2018-01-29 14:38:51,Thomas fire becomes largest wildfire on record in California http://www.latimes.com/local/lanow/la-me-thomas-fire-size-20171222-20171222-htmlstory.html #ThomasFire #california #wildfires #latimes @latimes
29,2018-01-24 22:07:23,Please follow the Twitter page of this documentary I am helping with about the recent Thomas Fire in the Ojai Valley. #ThomasFire #wildfire #ojai #ojaivalley @OVN #venturacounty #climatechange #weneedrain #California #wildfire2017 #documentary
41,2018-01-22 18:36:44,California #Thomas #wildfire to cost re/insurers up to $2.5bn: RMS http://www.artemis.bm/blog/2018/01/22/california-thomas-wildfire-to-cost-reinsurers-up-to-2-5bn-rms/
47,2018-01-19 22:00:31,"The Thomas Fire, now largest in the state’s recorded history, was announced as completely contained as of last week. #Wildfire #California #ThomasFire"
82,2018-01-18 16:47:01,"Thomas Fire, California's Largest On Record, Is Now 100 Percent Contained https://buff.ly/2D1YUMk #California #WildFire #Weather #HealthAndSafety #ThomasFire"
91,2018-01-16 14:06:51,"Thomas fire, California's largest on record, finally 100% contained. #ThomasFire #LAFires #Wildfires http://www.latimes.com/local/lanow/la-me-thomas-fire-contained-20180112-story.html"
189,2018-01-09 17:24:15,"Thomas fire was the worst wildfire in California's history. Hopefully, the mudslides in the burned areas won't be the worst mudslides in history. . #ThomasFire #mudslides #Ventura #Ojai #Montecito #SantaPaula"
204,2018-01-04 19:00:37,"The #Thomas Fire of 2017 is the largest known wildfire in California’s modern history. It burned more than 281,000 acres and is just one of the fires that has made this the costliest year for wildfires in U.S. history. Find out more here: http://bit.ly/PKEarthSpaceScience"
245,2017-12-29 13:41:25,Some fires still visible in the northern part of the Thomas Fire #California #USA 28 Dec 2017 #Copernicus #Sentinel-2B Full-size: https://flic.kr/p/22YVuHD More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
246,2017-12-29 13:41:24,Natural color version: New images of the now 91% contained Thomas Fire #California #USA 28 Dec 2017 #Copernicus #Sentinel-2B Full-size: https://flic.kr/p/22YVwFM More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
247,2017-12-29 13:41:23,New images of the now 91% contained Thomas Fire #California #USA 28 Dec 2017 #Copernicus #Sentinel-2B Full-size: https://flic.kr/p/22YVw82 More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
256,2017-12-28 23:16:27,#Thomas #wildfire #grows to third #largest in #California #history http://thetribunepost.com/fox-news-live-online-news/thomas-wildfire-grows-to-third-largest-in-california-history/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost
259,2017-12-28 19:22:12,"Southern California wildfires trigger mass destruction, hurting families, economy ""The Thomas Fire has very little active heat at this time and no forward progress of the fire is expected."" http://fxn.ws/2BOtNDw via @FoxNews #ThomasFire"
267,2017-12-28 03:45:16," #ThomasFire Status Dec 27, 6pm: Counties #Ventura + #SantaBarbara 91% contained 281,893 acres burned Est. Containment: Jan 7, 2018 The Thomas Fire is now the largest Wildfire in #California's modern history! https://inciweb.nwcg.gov/incident/5670/"
325,2017-12-26 13:22:51,And an overview of the Thomas Fire also showing hot spots in the South of it #California #USA 25 Dec 2017 #Copernicus #Sentinel-2B Full-size: https://flic.kr/p/22TANwc More: https://flic.kr/s/aHskymzjE6 #ThomasFire #CaliforniaWildfires #Wildfire 
