date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-06 03:12:08,DestaG,ai6yrham,1,1,1,"Damn, damn, damn. #ThomasFire #HillFire #WoosleyFire",,,#ThomasFire #HillFire #WoosleyFire,1269104761317425152,https://twitter.com/DestaG/status/1269104761317425152
2020-06-06 02:33:43,DuskyWhateva,,0,0,0,"Second time in a row like it waz nothin. I think I'm bout to go in on this with me? The smoke is moving in. #ThomasFire",,,#ThomasFire,1269095093023145985,https://twitter.com/DuskyWhateva/status/1269095093023145985
2020-06-02 02:59:30,weber_virginia,,0,0,0,"So here’s Vivian with ⁦@RadioFreeTom⁩ book. She’s not the only one wishing I’d bought the e-version since the #ThomasFire ate everything we owned/bought/collected. ",,@RadioFreeTom,#ThomasFire,1267652030450987008,https://twitter.com/weber_virginia/status/1267652030450987008
2020-06-02 02:13:11,quirklawyers,,0,0,1,"Hey Macee Rad, I keep my promises. Your lot is clean. Tony Luboff, your next. #believe #livelaughlove #thomasfire #wedontquit @Ventura County, California https://www.instagram.com/p/CA6l9r9giAD/?igshid=vylhhjfvw6mo",,,#believe #livelaughlove #thomasfire #wedontquit,1267640374119616512,https://twitter.com/quirklawyers/status/1267640374119616512
2020-05-29 19:43:02,WatchdogVentura,,0,1,3,"The number of rebuilt and occupied #houses is 23% of the number of homes that burned in the #ThomasFire. ",,,#houses #ThomasFire,1266455027343929344,https://twitter.com/WatchdogVentura/status/1266455027343929344
2020-05-24 00:35:11,ShyLittleViolet,,0,1,0,"@CAgovernor This is after ten years with the same company, creating a whole department/position, millions of followers in sales, and only missing ONE day; because of the #ThomasFire . I’ve never not had a job since I was 13. TWO MONTHS LATER, no payment and I cannot get through.",,@CAgovernor,#ThomasFire,1264354219466690560,https://twitter.com/ShyLittleViolet/status/1264354219466690560
2020-05-19 15:55:09,QuantumSpatial,,0,5,8,"Could #Wildfire Ash Feed the Ocean’s Tiniest Life-Forms? https://www.smithsonianmag.com/science-nature/could-wildfire-ash-feed-oceans-tiniest-life-forms-180974329/#.XsP_B1oJ4nw.twitter by @jrdscience #geospatial #thomasfire @ucsantabarbara",,@jrdscience @ucsantabarbara,#Wildfire #geospatial #thomasfire,1262773798190931970,https://twitter.com/QuantumSpatial/status/1262773798190931970
2020-05-15 01:46:47,VivaaLaDivaa,,2,0,1,"I want to take a minute to share some photos I took during the #ThomasFire 2 yrs ago. I snapped these outside of my car window, leaving work to evacuate. Cali has been under a spiritual attack for some time now, but the tide has turned. Now, for JUSTICE. Look in the smoke. ",,,#ThomasFire,1261110747343417345,https://twitter.com/VivaaLaDivaa/status/1261110747343417345
2020-05-13 22:08:09,KCLUNEWS,,0,0,0,"High Fire Season Set For Santa Barbara County; Governor Beefing Up Statewide Firefighting Capability #cavefire #whittierfire #thomasfire #santabarbaracounty #santabarbaracountyfire @countyofsb",,@countyofsb,#cavefire #whittierfire #thomasfire #santabarbaracounty #santabarbaracountyfire,1260693339944312833,https://twitter.com/KCLUNEWS/status/1260693339944312833
2020-05-08 22:41:19,StaciHeaton,CliffCPUC,0,1,1,"ICYMI, the CPUC did some things to PG&E yesterday. #CampFire #TubbsFire #ThomasFire ",,,#CampFire #TubbsFire #ThomasFire,1258889745846788096,https://twitter.com/StaciHeaton/status/1258889745846788096
