,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
0,2018-06-04 21:00:52,calfund,,0,2,0,"As California communities recover from a devastating #wildfire season, we reflect on the generosity of donors that is helping them rebuild. Learn more about the impact of the #WildfireReliefFund in this week's #LATogether blog post. #ThomasFire https://latogether.org/2018/06/04/joining-together-for-wildfire-recovery/",,,#wildfire #WildfireReliefFund #LATogether #ThomasFire,1003743411109814277,https://twitter.com/calfund/status/1003743411109814277
1,2018-02-13 16:27:28,CDFAnews,,0,2,1,"From CDFA Secretary Karen Ross - After the #ThomasFire: growers inspire with resiliency, optimism http://plantingseedsblog.cdfa.ca.gov/wordpress/?p=14664 #avocados #agriculture",,,#ThomasFire #avocados #agriculture,963449555537690624,https://twitter.com/CDFAnews/status/963449555537690624
2,2018-01-23 20:05:54,DirectRelief,,0,1,3,The #ThomasFire: 40 days of devastation via @latimes http://www.latimes.com/projects/la-me-thomas-fire-40-days-of-devastation-3d/,,@latimes,#ThomasFire,955894380606337025,https://twitter.com/DirectRelief/status/955894380606337025
3,2018-01-12 23:17:00,DirectRelief,,1,2,4,"""The #ThomasFire, the largest fire in California history, burned vegetation and altered the ground surface in the Santa Ynez Mountains above Montecito. This allowed water and mud to flow swiftly down the San Ysidro Creek toward developed areas."" https://www.washingtonpost.com/graphics/2018/national/montecito-before-after/?tid=ss_tw&amp;utm_term=.3898ee7ac1fb",,,#ThomasFire,951956204141424640,https://twitter.com/DirectRelief/status/951956204141424640
4,2018-01-06 21:20:11,calfund,,0,1,1,"Want to know how you can help communities that have been impacted by wildfires? CCF is matching contributions to the Wildfire Relief Fund up to $100,000, and 100% of donations go to those affected. Learn more: http://www.calfund.org/wildfire-relief-fund/ #SoCalFires #NorCalFires #ThomasFire ",,,#SoCalFires #NorCalFires #ThomasFire,949752479067107328,https://twitter.com/calfund/status/949752479067107328
5,2018-01-02 04:18:34,oHallofImageso,,0,0,1,12/7/17 #ThomasFire Day 4(11:51AM) Maricopa Hwy Crews from Cal Fire stage in Ojai. Follow the story: #thomastimeline,,,#ThomasFire #thomastimeline,948045828794466304,https://twitter.com/oHallofImageso/status/948045828794466304
6,2017-12-29 16:30:27,CalGuard,ktlagayle,0,3,8,"VIDEO Sneak Peak of the @WeAreFarmers #RoseParade float #HonoringHometownHeroes. #CalGuard Sgt. Anthony Orduno, a UH-60 Black Hawk crew chief who flew missions in support of the #ThomasFire, will join first responders from @CAL_FIRE, police, and other agencies on the float!",,@WeAreFarmers @CAL_FIRE,#RoseParade #HonoringHometownHeroes #CalGuard #ThomasFire,946780462239944705,https://twitter.com/CalGuard/status/946780462239944705
7,2017-12-29 13:40:23,ResiliencyLLC,CAL_FIRE,0,0,0,#ThomasFire INCIDENT STATUS REPORT from CAL FIRE @CAL_FIRE #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,,@CAL_FIRE,#ThomasFire #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,946737664178475008,https://twitter.com/ResiliencyLLC/status/946737664178475008
8,2017-12-28 01:45:07,calfund,,0,1,1,"Want to know how you can help communities that have been impacted by wildfires? CCF is matching contributions to the Wildfire Relief Fund up to $100,000, and 100% of donations go to those affected. Learn more: http://www.calfund.org/wildfire-relief-fund/ #SoCalFires #NorCalFires #ThomasFire ",,,#SoCalFires #NorCalFires #ThomasFire,946195274862682112,https://twitter.com/calfund/status/946195274862682112
9,2017-12-26 22:00:25,ResiliencyLLC,CAL_FIRE,0,2,3,#ThomasFire INCIDENT STATUS REPORT from CAL FIRE @CAL_FIRE #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,,@CAL_FIRE,#ThomasFire #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,945776337196810240,https://twitter.com/ResiliencyLLC/status/945776337196810240
10,2017-12-25 13:42:17,ResiliencyLLC,CAL_FIRE,0,0,0,#ThomasFire INCIDENT STATUS REPORT from CAL FIRE @CAL_FIRE #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,,@CAL_FIRE,#ThomasFire #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,945288592989020160,https://twitter.com/ResiliencyLLC/status/945288592989020160
11,2017-12-24 15:50:23,ResiliencyLLC,CAL_FIRE,0,0,0,#ThomasFire INCIDENT STATUS REPORT from CAL FIRE @CAL_FIRE #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,,@CAL_FIRE,#ThomasFire #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds #Firefighters,944958439515656192,https://twitter.com/ResiliencyLLC/status/944958439515656192
12,2017-12-23 06:13:09,MrJamesCosgrove,,0,4,1,"The #ThomasFire has become the largest wildfire in modern California history, surpassing the 2003 #CedarFire. Latest #ThomasFire info from @CAL_FIRE: - 1,063 structures destroyed - 280 structures damaged - 273,400 acres burned - 65% contained - $177m firefighting cost",,@CAL_FIRE,#ThomasFire #CedarFire #ThomasFire,944450786020544512,https://twitter.com/MrJamesCosgrove/status/944450786020544512
13,2017-12-23 02:33:39,KNXSimpson,,0,6,3,"From @CAL_FIRE: the #ThomasFire has now burned 273,400 acres. That makes it the largest wildfire modern in CA history. It’s 65% contained. The Cedar Fire in San Diego County burned 273,246 acres in 2003. @KNX1070",,@CAL_FIRE @KNX1070,#ThomasFire,944395548156600320,https://twitter.com/KNXSimpson/status/944395548156600320
14,2017-12-21 23:00:55,calfund,,0,5,4,"Want to know how you can help communities that have been impacted by wildfires? CCF is matching contributions to the Wildfire Relief Fund up to $100,000, and 100% of donations go to those affected. Learn more: http://www.calfund.org/wildfire-relief-fund/ #SoCalFires #NorCalFires #ThomasFire ",,,#SoCalFires #NorCalFires #ThomasFire,943979623993561088,https://twitter.com/calfund/status/943979623993561088
15,2017-12-21 17:29:06,davidcater,CAL_FIRE,0,0,2,Oh thank goodness! The past two weeks have been really stressful with the #ThomasFire. THANK YOU to all the Firefighters from @CAL_FIRE and the surrounding States for being real HEROES and pulling out all the stops to bring a Christmas Miracle to our community!,,@CAL_FIRE,#ThomasFire,943896121511886848,https://twitter.com/davidcater/status/943896121511886848
16,2017-12-21 02:28:06,countyofsb,CAL_FIRE,0,6,9,Here is tonight's #ThomasFire update from @CAL_FIRE #805Strong,,@CAL_FIRE,#ThomasFire #805Strong,943669378259677186,https://twitter.com/countyofsb/status/943669378259677186
