,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
0,2018-08-20 19:32:47,jersiegel,,0,3,0,"Report from @CAL_FIRE says battalion Chief Matt Burchett died fighting the #MendocinoComplex after being struck by falling tree debris after air tanker fire retardant drop, says firefighters must remain clear from areas where retardant drops may cause overhead hazards. @KQEDnews",,@CAL_FIRE @KQEDnews,#MendocinoComplex,1031625108786270208,https://twitter.com/jersiegel/status/1031625108786270208
1,2018-08-13 20:59:15,RepGaramendi,,0,0,1,Here is the latest update on the #MendocinoComplex from @CAL_FIRE,,@CAL_FIRE,#MendocinoComplex,1029110156649476096,https://twitter.com/RepGaramendi/status/1029110156649476096
2,2018-08-11 20:58:00,95_7thewolf,,0,0,0,***#MendocinoComplex Update from @Cal Fire 8/11/18*** https://www.facebook.com/213654405329790/posts/2260248564003687/,,@Cal,#MendocinoComplex,1028385065057669120,https://twitter.com/95_7thewolf/status/1028385065057669120
3,2018-08-10 18:49:09,AsmAguiarCurry,CAL_FIRE,0,0,2,Please see below today's update from @CAL_FIRE on the #MendocinoComplex. ,,@CAL_FIRE,#MendocinoComplex,1027990248393830400,https://twitter.com/AsmAguiarCurry/status/1027990248393830400
4,2018-08-09 17:46:19,MossyFallsFarm,,0,2,5,Woke up this morning to a visit from @CAL_FIRE with 3 bulldozers putting a contingency line through our farm #TooCloseForComfort #PutItOut #RanchFire #MendocinoComplex ,,@CAL_FIRE,#TooCloseForComfort #PutItOut #RanchFire #MendocinoComplex,1027612051382796293,https://twitter.com/MossyFallsFarm/status/1027612051382796293
5,2018-08-08 23:38:25,irenekoehler,,1,4,4,Ban on fires in the following counties from CAL FIRE: Santa Clara Alameda Contra costa Stanislaus San Joaquin Stay safe and don’t take any chances. #CarrFire #MendocinoComplex #BayArea,,,#CarrFire #MendocinoComplex #BayArea,1027338269703299072,https://twitter.com/irenekoehler/status/1027338269703299072
6,2018-08-08 19:04:57,AsmAguiarCurry,CAL_FIRE,0,3,3,Please see below for the latest update from CAL FIRE regarding the #MendocinoComplex. ,,,#MendocinoComplex,1027269452004352002,https://twitter.com/AsmAguiarCurry/status/1027269452004352002
7,2018-08-08 14:14:07,BungerKCBSRadio,,0,0,1,"Another milestone: the #MendocinoComplex fire now becomes California's first-ever 300,000 acre wildfire. Morning update from @CAL_FIRE shows containment at 47% http://cdfdata.fire.ca.gov/admin8327985/cdf/images/incidentfile2175_3923.pdf",,@CAL_FIRE,#MendocinoComplex,1027196261827399682,https://twitter.com/BungerKCBSRadio/status/1027196261827399682
8,2018-08-07 20:40:04,NorCalRanches,,0,0,1,"Update from @CAL_FIRE, @CALFIRE_MEU, @MendocinoNF on the #MendocinoComplex, #RanchFire #RiverFire http://ow.ly/EWPl50ib2ow",,@CAL_FIRE @CALFIRE_MEU @MendocinoNF,#MendocinoComplex #RanchFire #RiverFire,1026930999010254849,https://twitter.com/NorCalRanches/status/1026930999010254849
9,2018-08-06 17:43:05,95_7thewolf,,0,0,0,Another great video from CAL FIRE Mendocino Unit for our neighbors in Glenn and Colusa Counties. #MendocinoComplex 8/6/18 https://www.facebook.com/957thewolfchico/posts/2250727471622463,,,#MendocinoComplex,1026524072090333184,https://twitter.com/95_7thewolf/status/1026524072090333184
