,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,urls
0,ChrisTheYank,,Handing out more along with church folk supplies to those still in need for #HurricanHarvey.… https://www.instagram.com/p/BZrrOONjmQj/,0,0,0,914260113971646464,https://twitter.com/ChrisTheYank/status/914260113971646464,342548477,2017-09-30 22:46:11+00:00,Sat Sep 30 22:46:11 +0000 2017,#HurricanHarvey,,https://www.instagram.com/p/BZrrOONjmQj/
21,ThatBoiPolo,,I hope @ATT superiors are hit by a national disaster so they are able to relate to the families devastated by #HurricanHarvey unlimited data wasn't and isn't what Houston needed.,0,0,0,913105008471810048,https://twitter.com/ThatBoiPolo/status/913105008471810048,29574112,2017-09-27 18:16:13+00:00,Wed Sep 27 18:16:13 +0000 2017,#HurricanHarvey,@ATT,
32,UHIN_HIE,,"Nick Bonvino showing the megashelters set up for 30,000+ evacuees displaced by #hurricanharvey. #UHINHIT @HealthconnectTX #interoperability",0,1,0,912703781602652160,https://twitter.com/UHIN_HIE/status/912703781602652160,4893724693,2017-09-26 15:41:53+00:00,Tue Sep 26 15:41:53 +0000 2017,#hurricanharvey #UHINHIT #interoperability,@HealthconnectTX,
43,StillSmileToday,,"The @REDCross is now providing $400 to families effected by #HurricanHarvey, apply now here: https://www.disasterverification.com/redcross/",0,0,0,912343133119066112,https://twitter.com/StillSmileToday/status/912343133119066112,905155911034970112,2017-09-25 15:48:48+00:00,Mon Sep 25 15:48:48 +0000 2017,#HurricanHarvey,@RedCross,https://www.disasterverification.com/redcross/
74,BabyTooth_Ctr,,Help us collect school supplies for kids affected by #HurricanHarvey! Drop off donations this month for a chance to win great prizes. ,0,0,0,911287780986245121,https://twitter.com/BabyTooth_Ctr/status/911287780986245121,900068658990522370,2017-09-22 17:55:12+00:00,Fri Sep 22 17:55:12 +0000 2017,#HurricanHarvey,,
87,preemptivelove,,"TFW Muslim families in Beaumont, TX put on a feast to thank military first responders after #HurricanHarvey. ",22,79,0,911012899489042432,https://twitter.com/preemptivelove/status/911012899489042432,16043238,2017-09-21 23:42:55+00:00,Thu Sep 21 23:42:55 +0000 2017,#HurricanHarvey,,
95,sculptorwriter,,"#hurricanharvey devastated many, but @dilibertophoto is working to get supplies to the hard hit areas. Great job @FusionSpring",0,0,0,910941922533023744,https://twitter.com/sculptorwriter/status/910941922533023744,15642542,2017-09-21 19:00:53+00:00,Thu Sep 21 19:00:53 +0000 2017,#hurricanharvey,@dilibertophoto @fusionspring,
132,ChapinMD,,Cleaning supplies+ X 5 bags for #HurricanHarvey victims in my office. Courtesy of a PCa survivor in my clinic. #THX,0,3,0,910500187650453505,https://twitter.com/ChapinMD/status/910500187650453505,1342090369,2017-09-20 13:45:35+00:00,Wed Sep 20 13:45:35 +0000 2017,#HurricanHarvey #THX #THX,,
197,PurrrfectlyH,,"Harvey, Irma and #Pet Food https://buff.ly/2jtFdHY #HurricanHarvey #HurricaneIrma #cat food #truth #DANGER #cat health #FDA #DoBetter #pets",2,0,0,909214576264253440,https://twitter.com/PurrrfectlyH/status/909214576264253440,708715569646710784,2017-09-17 00:37:02+00:00,Sun Sep 17 00:37:02 +0000 2017,#Pet #HurricanHarvey #HurricaneIrma #cat #truth #DANGER #cat #FDA #DoBetter #pets,,https://buff.ly/2jtFdHY
228,BabyTooth_Ctr,,Help us collect school supplies for kids affected by #HurricanHarvey! Drop off donations this month for a chance to win great prizes. ,0,0,0,908717107705245696,https://twitter.com/BabyTooth_Ctr/status/908717107705245696,900068658990522370,2017-09-15 15:40:16+00:00,Fri Sep 15 15:40:16 +0000 2017,#HurricanHarvey,,
230,Caribs4Beckford,News12BK,"#BlackLivesMatter has collected water, clothing, medic supplies and has mobilized for #HurricanHarvey and #HurricaneIrma #CD45",0,0,0,908710865301639168,https://twitter.com/Caribs4Beckford/status/908710865301639168,854813053979959296,2017-09-15 15:15:27+00:00,Fri Sep 15 15:15:27 +0000 2017,#BlackLivesMatter #BlackLivesMatter #HurricanHarvey #HurricaneIrma #CD45,,
253,KevanLyon,,"Help those impacted by #HurricanHarvey #hurricanirma Adopt a shelter pet! @HumaneSociety is taking in pets impacted, shelters are full! 1/2",2,2,0,908396340316475392,https://twitter.com/KevanLyon/status/908396340316475392,91121008,2017-09-14 18:25:39+00:00,Thu Sep 14 18:25:39 +0000 2017,#HurricanHarvey #hurricanirma,@HumaneSociety,
268,MountaineerFord,Ford,See how @Ford is helping families in need after #HurricanHarvey. ,0,0,0,908316992175853568,https://twitter.com/MountaineerFord/status/908316992175853568,2726396280,2017-09-14 13:10:21+00:00,Thu Sep 14 13:10:21 +0000 2017,#HurricanHarvey,@Ford,https://twitter.com/Ford/status/904690647365554176
285,bakesbylola,,I just gave to @FeedingAmerica. Join me and give meals to hungry families! #HurricanHarvey #HurricaneIrma http://feeding.am/givemeals,1,1,0,908111992564715520,https://twitter.com/bakesbylola/status/908111992564715520,3273488935,2017-09-13 23:35:45+00:00,Wed Sep 13 23:35:45 +0000 2017,#HurricanHarvey #HurricaneIrma,@FeedingAmerica,http://feeding.am/givemeals
288,EndlessPetID,,Help usmake a difference. We're donating all proceeds of PetID Sales in Sept to affected pets #HurricaneIrma #HurricanHarvey #MyEndlessPetID,2,2,0,908101876717060096,https://twitter.com/EndlessPetID/status/908101876717060096,2786443303,2017-09-13 22:55:33+00:00,Wed Sep 13 22:55:33 +0000 2017,#HurricaneIrma #HurricanHarvey #MyEndlessPetID,,
321,dadiyata,AJStream,"Off course, the viral image of the shark swimming on a free way in Houston, Texas during the #HurricanHarvey ",0,1,1,907990234452844544,https://twitter.com/dadiyata/status/907990234452844544,221402621,2017-09-13 15:31:56+00:00,Wed Sep 13 15:31:56 +0000 2017,#HurricanHarvey,,https://twitter.com/AJStream/status/907988406759813121
332,DucayneAU,,The cutest rescue from #Florida http://doglovers.fun/2017/09/12/southwest-packs-plane-with-pets-displaced-by-harvey-for-cutest-rescue-mission/ #HurricaneIrma #HurricanHarvey #dogsoftwitter #dogs,0,2,0,907818384158371840,https://twitter.com/DucayneAU/status/907818384158371840,2523051674,2017-09-13 04:09:03+00:00,Wed Sep 13 04:09:03 +0000 2017,#Florida #HurricaneIrma #HurricanHarvey #dogsoftwitter #dogs,,http://doglovers.fun/2017/09/12/southwest-packs-plane-with-pets-displaced-by-harvey-for-cutest-rescue-mission/
394,CindySpoon,,The conditions in the Beaumont Prison are horrible after #HurricanHarvey . And the BOP is denying it. Please help support these families https://twitter.com/_P_A_P_S_/status/907161435330945026,3,5,1,907439358982189062,https://twitter.com/CindySpoon/status/907439358982189062,24948578,2017-09-12 03:02:57+00:00,Tue Sep 12 03:02:57 +0000 2017,#HurricanHarvey,,https://twitter.com/_P_A_P_S_/status/907161435330945026
410,TORIL210,nicolesimone,I am crying thank you for all you do for #hurricanharvey pets! Best thing ever !! ,0,1,0,907372984779898881,https://twitter.com/TORIL210/status/907372984779898881,1180847976,2017-09-11 22:39:12+00:00,Mon Sep 11 22:39:12 +0000 2017,#hurricanharvey,,
424,KhanMoiez,mak_asif,Somehow the same shark was found in Texas in #hurricanharvey What a conicident. ,0,0,0,907335386732658688,https://twitter.com/KhanMoiez/status/907335386732658688,1321734290,2017-09-11 20:09:48+00:00,Mon Sep 11 20:09:48 +0000 2017,#hurricanharvey,,https://twitter.com/woridstarcomedy/status/902715306661085184
426,chelsea_lippe,,Donations for #HurricanHarvey still coming in from our amazing families and staff! #AVCato #castleberryisd #WeAreOne @charlierodJr@Krhoster,0,3,0,907329266064527361,https://twitter.com/chelsea_lippe/status/907329266064527361,2400003252,2017-09-11 19:45:29+00:00,Mon Sep 11 19:45:29 +0000 2017,#HurricanHarvey #AVCato #castleberryisd #WeAreOne,,
429,FlixbySorynna,,Philadelphia School District are willing to donate many school supplies for Houston and Florida. Much love! #HurrcaneIrma #HurricanHarvey,0,0,0,907321207359524866,https://twitter.com/FlixbySorynna/status/907321207359524866,830409808264167425,2017-09-11 19:13:27+00:00,Mon Sep 11 19:13:27 +0000 2017,#HurrcaneIrma #HurricanHarvey,,
484,Rowsdowerr,,My mom seriously shared this on #Facebook thinking it was real....... ... #trump #HurricanHarvey #wtfmom #fakenews,1,1,0,907037641383714816,https://twitter.com/Rowsdowerr/status/907037641383714816,304526045,2017-09-11 00:26:40+00:00,Mon Sep 11 00:26:40 +0000 2017,#Facebook #trump #HurricanHarvey #wtfmom #fakenews,,
